frame_idx,wall_t,ms_capture,ms_preproc,ms_framediff,ms_total,phase,state,sensor_age_ms
141,1777426363.898757,8.798,2.045,,31.849,,,,20.671,settle,tracking,47.48,,,,,1
142,1777426363.931959,10.006,2.035,,33.041,,,,20.669,settle,tracking,47.32,,,,,0
143,1777426363.966989,10.359,2.027,,34.876,,0.005,1.416,20.658,active,tracking,49.00,-3.12,-0.16,2,1,
144,1777426363.998907,8.514,2.229,,31.772,,,,20.694,settle,tracking,47.53,,,,,1
145,1777426364.032154,9.994,2.064,,33.086,,,,20.691,settle,tracking,47.42,,,,,0
146,1777426364.071742,10.125,2.016,,39.393,,4.721,1.400,20.706,active,tracking,53.66,-2.64,-0.20,2,1,
147,1777426364.099022,4.126,2.066,,27.147,,,,20.625,settle,tracking,47.55,,,,,1
148,1777426364.136733,11.838,3.536,,37.549,,,,21.807,settle,tracking,51.91,,,,,0
149,1777426364.166818,5.519,1.997,,29.938,,0.004,1.455,20.606,active,tracking,48.64,-2.00,-0.36,2,1,
150,1777426364.198832,8.801,2.044,,31.875,,,,20.699,settle,tracking,47.27,,,,,1
151,1777426364.232489,10.163,2.044,,33.502,,,,20.961,settle,tracking,47.56,,,,,0
152,1777426364.267116,9.920,2.014,,34.460,,0.005,1.407,20.701,active,tracking,48.84,-1.40,-0.52,2,1,
153,1777426364.298933,8.668,2.032,,31.677,,,,20.640,settle,tracking,47.28,,,,,1
154,1777426364.332325,10.212,2.057,,33.237,,,,20.639,settle,tracking,47.31,,,,,0
155,1777426364.370320,10.100,1.993,,37.842,,4.724,,20.626,active,tracking,51.95,,,,0,
156,1777426364.399274,5.773,2.032,,28.821,,0.005,,20.667,active,tracking,47.53,,,,0,
157,1777426364.432722,10.317,2.016,,33.290,,0.004,,20.611,active,tracking,47.61,,,,0,
158,1777426364.470674,10.065,2.018,,37.791,,4.714,,20.647,active,tracking,52.21,,,,0,
159,1777426364.499370,5.540,2.026,,28.549,,0.005,,20.632,active,tracking,47.53,,,,0,
160,1777426364.532523,9.996,2.024,,32.988,,0.004,,20.621,active,tracking,47.32,,,,0,
161,1777426364.570869,10.406,2.005,,38.188,,4.752,,20.679,active,tracking,52.31,,,,0,
162,1777426364.599492,5.432,2.053,,28.476,,0.004,,20.625,active,tracking,47.56,,,,0,
163,1777426364.632644,10.012,2.021,,32.990,,0.004,,20.618,active,tracking,47.35,,,,0,
164,1777426364.670711,10.197,2.005,,37.915,,4.737,,20.633,active,tracking,52.06,,,,0,
165,1777426364.699418,5.503,2.041,,28.573,,0.005,,20.677,active,tracking,47.39,,,,0,
166,1777426364.732814,10.172,2.014,,33.237,,0.005,,20.707,active,tracking,47.42,,,,0,
167,1777426364.772138,9.998,2.019,,39.158,,4.718,1.391,20.658,active,tracking,53.40,-1.40,-0.88,2,1,
168,1777426364.799604,4.258,2.025,,27.336,,,,20.715,settle,tracking,47.48,,,,,1
169,1777426364.832965,10.166,2.007,,33.204,,,,20.696,settle,tracking,47.48,,,,,0
170,1777426364.867647,10.011,2.030,,34.519,,0.005,1.417,20.696,active,tracking,48.81,-1.88,-0.92,2,1,
171,1777426364.899499,8.676,2.049,,31.714,,,,20.653,settle,tracking,47.29,,,,,1
172,1777426364.932855,10.176,2.022,,33.197,,,,20.663,settle,tracking,47.28,,,,,0
173,1777426364.968094,10.463,2.048,,35.083,,0.004,1.419,20.785,active,tracking,49.17,-2.20,-0.48,2,1,
174,1777426365.001603,9.994,2.010,,33.368,,,,20.940,settle,tracking,49.29,,,,,1
175,1777426365.033116,8.296,2.014,,31.356,,,,20.708,settle,tracking,47.44,,,,,0
176,1777426365.072938,10.248,2.040,,39.667,,4.838,1.401,20.757,active,tracking,53.92,-2.36,-0.32,2,1,
177,1777426365.100156,4.079,2.065,,27.086,,,,20.606,settle,tracking,47.75,,,,,1
178,1777426365.136546,10.730,3.189,,36.228,,,,21.929,settle,tracking,50.78,,,,,0
179,1777426365.167892,6.671,2.019,,31.178,,0.004,1.411,20.706,active,tracking,48.78,-2.24,-0.08,2,1,
180,1777426365.199990,8.336,2.077,,31.500,,,,20.746,settle,tracking,47.49,,,,,1
181,1777426365.233526,10.237,2.000,,33.381,,,,20.757,settle,tracking,47.66,,,,,0
182,1777426365.268366,10.154,2.053,,34.688,,0.004,1.417,20.699,active,tracking,49.16,-1.96,0.08,2,1,
183,1777426365.300154,8.587,2.062,,31.648,,,,20.666,settle,tracking,47.57,,,,,1
184,1777426365.333477,10.048,2.013,,33.159,,,,20.709,settle,tracking,47.52,,,,,0
185,1777426365.373188,10.209,2.039,,39.560,,4.804,1.403,20.724,active,tracking,53.89,-1.72,0.20,2,1,
186,1777426365.400484,4.103,2.019,,27.164,,,,20.707,settle,tracking,47.80,,,,,1
