frame_idx,wall_t,ms_capture,ms_preproc,ms_framediff,ms_total,phase,state,sensor_age_ms
157,1777426445.284766,2.113,2.109,,50.278,,,45.709,settle,tracking,98.62,,,,,1
158,1777426445.334689,2.033,2.023,,49.762,,,45.341,settle,tracking,81.81,,,,,0
159,1777426445.386324,2.209,2.116,,51.466,,1.420,45.352,active,tracking,100.11,1,-1.60,-0.84,2,
160,1777426445.436094,1.987,2.052,,49.627,,,45.242,settle,tracking,83.12,,,,,1
161,1777426445.486368,2.265,2.096,,50.124,,,45.449,settle,tracking,100.04,,,,,0
162,1777426445.536118,2.052,2.042,,49.586,,,45.138,active,tracking,83.06,0,,,,
163,1777426445.586639,2.312,2.083,,50.366,,,45.612,active,tracking,100.21,0,,,,
164,1777426445.636441,2.046,2.071,,49.645,,,45.194,active,tracking,83.28,0,,,,
165,1777426445.686974,2.273,2.091,,50.376,,,45.623,active,tracking,100.46,0,,,,
166,1777426445.736721,2.029,2.063,,49.593,,,45.158,active,tracking,83.47,0,,,,
167,1777426445.787213,2.281,2.062,,50.324,,,45.603,active,tracking,100.60,0,,,,
168,1777426445.836870,2.090,2.013,,49.502,,,45.058,active,tracking,83.53,0,,,,
169,1777426445.887333,2.267,2.105,,50.295,,,45.556,active,tracking,100.62,0,,,,
170,1777426445.937042,2.089,2.028,,49.556,,,45.076,active,tracking,83.60,0,,,,
171,1777426445.988989,2.257,2.107,,51.780,,1.386,45.642,active,tracking,102.19,1,1.40,0.48,2,
172,1777426446.038648,2.065,2.020,,49.523,,,45.077,settle,tracking,85.11,,,,,1
173,1777426446.088993,2.228,2.140,,50.179,,,45.459,settle,tracking,102.07,,,,,0
174,1777426446.143059,2.109,2.035,,53.911,,1.709,47.663,active,tracking,89.46,1,2.40,0.84,2,
175,1777426446.193570,2.151,2.038,,50.389,,,45.764,settle,tracking,73.22,,,,,1
176,1777426446.244104,2.076,2.078,,50.389,,,45.654,settle,tracking,90.40,,,,,0
177,1777426446.295706,2.295,2.001,,51.476,,1.421,45.391,active,tracking,75.27,1,2.80,0.60,2,
178,1777426446.345771,2.061,2.023,,49.931,,,45.507,settle,tracking,91.96,,,,,1
179,1777426446.396191,2.055,2.047,,50.266,,,45.820,settle,tracking,75.65,,,,,0
180,1777426446.448434,2.071,2.156,,51.463,,1.421,45.444,active,tracking,94.55,1,2.52,0.68,2,
181,1777426446.498841,2.016,2.005,,50.273,,,45.902,settle,tracking,78.19,,,,,1
182,1777426446.549021,2.205,2.093,,50.022,,,45.378,settle,tracking,95.02,,,,,0
183,1777426446.600896,2.085,1.991,,51.719,,1.428,45.763,active,tracking,80.19,1,1.72,0.52,2,
184,1777426446.651103,2.132,2.044,,50.071,,,45.547,settle,tracking,97.01,,,,,1
185,1777426446.701166,2.064,2.020,,49.904,,,45.466,settle,tracking,80.35,,,,,0
186,1777426446.751476,2.266,2.084,,50.147,,,45.446,active,tracking,97.29,0,,,,
187,1777426446.801281,2.091,1.975,,49.647,,,45.224,active,tracking,80.37,0,,,,
188,1777426446.851625,2.201,2.076,,50.128,,,45.496,active,tracking,97.35,0,,,,
189,1777426446.901551,2.110,1.966,,49.765,,,45.272,active,tracking,80.54,0,,,,
190,1777426446.951805,2.197,2.101,,50.098,,,45.444,active,tracking,97.43,0,,,,
191,1777426447.001617,2.099,1.993,,49.651,,,45.139,active,tracking,80.52,0,,,,
192,1777426447.051876,2.212,2.110,,50.106,,,45.435,active,tracking,97.40,0,,,,
193,1777426447.101691,2.097,2.003,,49.656,,,45.133,active,tracking,80.49,0,,,,
